generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
216,148,0.99999994,-1,2041.0,-1,4,2,2041,963,7
217,164,1.0,-1,2042.0,-1,1,1,2042,927,0
218,165,1.0,-1,2044.0,-1,2,1,2044,885,2
219,165,1.0,-1,2048.0,-1,2,3,2048,816,3
220,156,1.0,0.5236098,2050.0,1073.4001,2,1,2050,940,1
221,157,1.0,-1,2052.0,-1,4,0,2052,919,4
222,161,1.0,-1,2056.0,-1,4,2,2056,880,6
223,161,1.0,-1,2060.0,-1,3,2,2060,910,3
224,159,1.0,-1,2065.0,-1,4,2,2065,903,0
225,159,1.0,-1,2069.0,-1,1,4,2069,884,4
226,165,1.0,-1,2073.0,-1,1,3,2073,884,1
227,158,1.0,-1,2076.0,-1,2,2,2076,927,2
228,154,1.0,-1,2080.0,-1,2,4,2080,914,4
229,146,1.0,-1,2083.0,-1,1,3,2083,1027,3
230,158,1.0,-1,2085.0,-1,1,1,2085,940,2
231,157,1.0,-1,2087.0,-1,1,1,2087,911,4
232,154,1.0,-1,2093.0,-1,3,4,2093,930,2
233,161,1.0,-1,2094.0,-1,1,1,2094,874,2
234,153,1.0,-1,2100.0,-1,3,4,2100,963,1
235,157,1.0,-1,2102.0,-1,3,0,2102,936,2
236,156,1.0,-1,2105.0,-1,0,3,2105,972,1
237,163,1.0,-1,2109.0,-1,0,4,2109,877,1
238,156,1.0,-1,2110.0,-1,0,1,2110,938,2
239,159,1.0,-1,2111.0,-1,0,1,2111,886,4
240,159,1.0,0.5213475,2115.0,1102.65,2,2,2115,941,0
241,152,1.0,-1,2116.0,-1,0,1,2116,937,2
242,151,1.0,-1,2117.0,-1,0,1,2117,929,3
243,159,1.0,-1,2119.0,-1,3,0,2119,904,0
244,154,1.0,-1,2119.0,-1,1,0,2119,943,3
245,155,1.0,-1,2122.0,-1,2,3,2122,947,2
246,161,1.0,-1,2124.0,-1,1,1,2124,885,3
247,163,1.0,-1,2128.0,-1,1,3,2128,868,1
248,158,1.0,-1,2131.0,-1,0,3,2131,891,2
249,155,1.0,-1,2135.0,-1,2,3,2135,926,3
250,149,1.0,-1,2138.0,-1,3,2,2138,937,4
251,151,1.0,-1,2139.0,-1,0,1,2139,884,6
252,162,1.0,-1,2142.0,-1,2,3,2142,889,5
253,165,1.0,-1,2146.0,-1,3,3,2146,841,3
254,153,1.0,-1,2146.0,-1,0,0,2146,941,4
255,142,1.0,-1,2148.0,-1,2,1,2148,998,4
256,163,1.0,-1,2151.0,-1,2,1,2151,816,2
257,160,1.0,-1,2156.0,-1,2,3,2156,906,3
258,165,1.0,-1,2157.0,-1,0,1,2157,874,1
259,154,1.0,-1,2158.0,-1,1,0,2158,933,4
260,165,1.0,0.5236111,2160.0,1131.0,1,1,2160,860,2
261,162,1.0,-1,2160.0,-1,1,0,2160,894,2
262,167,1.0,-1,2162.0,-1,1,1,2162,862,0
263,157,1.0,-1,2164.0,-1,1,2,2164,867,0
264,167,1.0,-1,2166.0,-1,0,2,2166,853,3
265,162,1.0,-1,2167.0,-1,1,0,2167,831,5
266,156,1.0,-1,2169.0,-1,0,2,2169,931,5
267,154,1.0,-1,2171.0,-1,0,2,2171,985,2
268,160,1.0,-1,2176.0,-1,0,5,2176,910,2
269,160,1.0,-1,2178.0,-1,1,1,2178,881,2
270,144,1.0,-1,2180.0,-1,0,2,2180,987,4
271,161,1.0,-1,2184.0,-1,2,3,2184,892,2
272,160,1.0,-1,2188.0,-1,1,4,2188,906,1
273,150,1.0,-1,2190.0,-1,2,1,2190,975,4
274,157,1.0,-1,2191.0,-1,0,1,2191,935,2
275,154,1.0,-1,2192.0,-1,1,0,2192,944,4
276,157,1.0,-1,2194.0,-1,2,0,2194,888,1
277,163,1.0,-1,2198.0,-1,1,3,2198,848,1
278,158,1.0,-1,2198.0,-1,1,0,2198,906,2
279,160,1.0,-1,2198.0,-1,1,0,2198,863,1
