generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
410,135,1.0,-1,2395.0,-1,0,0,2395,860,19,174,0.91026366,-1,2267.4668,-1,0,5,2491,13044,19
411,131,1.0,-1,2395.0,-1,0,0,2395,843,24,167,0.9102904,-1,2267.5334,-1,0,1,2491,13543,24
412,136,1.0,-1,2395.0,-1,0,0,2395,776,25,169,0.91034395,-1,2267.6667,-1,0,2,2491,12618,25
413,136,1.0,-1,2396.0,-1,0,1,2396,805,25,166,0.9105581,-1,2268.2002,-1,0,3,2491,13192,25
414,130,1.0,-1,2397.0,-1,0,1,2397,875,20,173,0.9108524,-1,2268.9333,-1,0,3,2491,13224,20
415,138,1.0,-1,2397.0,-1,0,0,2397,848,17,179,0.9110933,-1,2269.5334,-1,0,4,2491,13546,17
416,134,1.0,-1,2398.0,-1,0,1,2398,917,16,174,0.9110933,-1,2269.5334,-1,0,0,2491,14204,16
417,142,1.0,-1,2398.0,-1,0,0,2398,835,18,171,0.9110933,-1,2269.5334,-1,0,0,2491,14116,18
418,144,1.0,-1,2398.0,-1,1,0,2398,820,16,182,0.9112092,-1,2270.7334,-1,1,2,2492,13223,16
419,133,1.0,-1,2398.0,-1,0,0,2398,880,22,172,0.9112092,-1,2270.7334,-1,0,0,2492,13806,22
420,135,1.0,-1,2398.0,-1,0,0,2398,780,27,166,0.9112092,-1,2270.7334,-1,0,0,2492,12149,27
421,138,1.0,-1,2398.0,-1,0,0,2398,840,17,176,0.91123605,-1,2270.8003,-1,0,1,2492,13659,17
422,129,1.0,-1,2400.0,-1,0,2,2400,867,25,169,0.91142327,-1,2271.2668,-1,0,4,2492,13258,25
423,142,1.0,-1,2400.0,-1,0,0,2400,730,22,167,0.91132516,-1,2271.9336,-1,0,3,2493,12584,22
424,140,1.0,-1,2400.0,-1,0,0,2400,730,22,169,0.9114588,-1,2272.2668,-1,0,2,2493,12472,22
425,135,1.0,-1,2400.0,-1,0,0,2400,845,18,176,0.9114588,-1,2272.2668,-1,0,0,2493,12621,18
426,139,1.0,-1,2401.0,-1,0,1,2401,890,12,179,0.91151226,-1,2272.4001,-1,0,2,2493,13716,12
427,135,1.0,-1,2403.0,-1,0,2,2403,829,19,171,0.9120471,-1,2273.7334,-1,0,6,2493,12891,19
428,133,1.0,-1,2403.0,-1,0,0,2403,832,22,173,0.91215414,-1,2274.0002,-1,0,2,2493,12705,22
429,138,1.0,-1,2403.0,-1,0,0,2403,827,22,172,0.91218084,-1,2274.067,-1,0,1,2493,13674,22
