generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
93,120,1.0,-1,1495.0,-1,4,6,1495,1204,61,139,0.89127046,-1,1405.5334,-1,4,8,1577,18082,61
94,126,1.0,-1,1500.0,-1,4,4,1500,1151,62,138,0.891672,-1,1409.7335,-1,4,12,1581,17735,62
95,120,1.0,-1,1507.0,-1,6,5,1507,1194,62,138,0.8921977,-1,1414.1334,-1,6,8,1585,18434,62
96,121,1.0,-1,1515.0,-1,11,3,1515,1170,64,136,0.8923045,-1,1422.3334,-1,11,12,1594,17834,64
97,124,1.0,-1,1520.0,-1,6,5,1520,1193,57,143,0.89279914,-1,1425.8002,-1,6,8,1597,18034,57
98,146,1.0,-1,1524.0,-1,4,3,1524,1178,40,160,0.8924772,-1,1431.5334,-1,4,9,1604,18451,40
99,135,1.0,-1,1534.0,-1,4,9,1534,1112,53,147,0.89305997,-1,1436.9335,-1,4,11,1609,17617,53
100,119,1.0,0.875,1540.0,1347.5,5,4,1540,1215,59,141,0.8932756,0.8910891,1443.5334,1440.0,5,12,1616,18183,59
101,130,0.99999994,-1,1551.0,-1,5,8,1551,1184,50,150,0.893809,-1,1453.3335,-1,5,16,1626,17916,50
102,115,1.0,-1,1562.0,-1,5,7,1562,1158,70,130,0.8942066,-1,1461.1335,-1,5,9,1634,17853,70
103,123,1.0,-1,1565.0,-1,6,2,1565,1137,60,140,0.8945292,-1,1466.1334,-1,6,14,1639,17881,60
104,133,0.99999994,-1,1571.0,-1,3,5,1571,1151,53,147,0.8946708,-1,1471.7335,-1,3,13,1645,17919,53
105,136,1.0,-1,1578.0,-1,3,6,1578,1131,52,148,0.8951171,-1,1478.7334,-1,3,15,1652,17623,52
106,125,0.99999994,-1,1581.0,-1,5,2,1581,1204,61,139,0.8956925,-1,1483.2668,-1,5,12,1656,17905,61
107,132,0.99999994,-1,1587.0,-1,2,5,1587,1205,50,150,0.89578825,-1,1488.8,-1,2,11,1662,17913,50
108,113,1.0,-1,1593.0,-1,4,5,1593,1231,61,139,0.8956436,-1,1493.9335,-1,4,11,1668,18145,61
109,120,1.0,-1,1596.0,-1,2,3,1596,1205,61,139,0.89603037,-1,1497.2668,-1,2,11,1671,18074,61
110,133,1.0,-1,1601.0,-1,7,2,1601,1184,52,148,0.89653945,-1,1502.6001,-1,7,9,1676,17864,52
111,119,1.0,-1,1610.0,-1,8,8,1610,1157,65,135,0.8973263,-1,1510.2002,-1,8,16,1683,17949,65
112,116,1.0,-1,1615.0,-1,3,4,1615,1198,62,138,0.8976883,-1,1514.4001,-1,3,7,1687,17888,62
113,129,1.0,-1,1618.0,-1,1,2,1618,1168,51,149,0.8978514,-1,1518.2668,-1,1,9,1691,17798,51
114,118,1.0,-1,1626.0,-1,7,4,1626,1233,61,139,0.8981961,-1,1526.9335,-1,7,11,1700,17924,61
115,129,1.0,-1,1630.0,-1,3,3,1630,1169,48,152,0.8989248,-1,1532.6667,-1,3,16,1705,17420,48
116,116,1.0,-1,1633.0,-1,7,1,1633,1165,68,132,0.89923936,-1,1536.8,-1,7,10,1709,17756,68
117,115,1.0,-1,1637.0,-1,3,3,1637,1198,63,137,0.8994357,-1,1540.7334,-1,3,9,1713,17578,63
118,126,1.0,-1,1646.0,-1,11,7,1646,1191,58,142,0.89926535,-1,1550.3335,-1,11,14,1724,17929,58
119,127,1.0,-1,1654.0,-1,0,8,1654,1138,59,141,0.8994991,-1,1556.1335,-1,0,12,1730,17613,59
120,126,1.0,-1,1663.0,-1,8,6,1663,1208,56,144,0.8998658,-1,1563.0669,-1,8,11,1737,18192,56
121,119,1.0,-1,1673.0,-1,6,8,1673,1197,63,137,0.90030557,-1,1571.9335,-1,6,12,1746,17838,63
122,121,1.0,-1,1676.0,-1,4,3,1676,1130,67,133,0.9005334,-1,1575.9335,-1,4,8,1750,17338,67
123,121,1.0,-1,1684.0,-1,3,6,1684,1179,59,141,0.9009481,-1,1583.8668,-1,3,13,1758,17874,59
124,135,0.99999994,-1,1691.0,-1,3,5,1691,1160,54,146,0.90124726,-1,1589.8002,-1,3,10,1764,17842,54
125,128,1.0,-1,1695.0,-1,6,4,1695,1132,56,144,0.9018478,-1,1594.4668,-1,6,14,1768,17539,56
126,122,0.99999994,-1,1700.0,-1,2,4,1700,1170,62,138,0.9021269,-1,1597.6667,-1,2,7,1771,17531,62
127,123,1.0,-1,1710.0,-1,8,7,1710,1161,64,136,0.90224725,-1,1606.0001,-1,8,9,1780,17632,64
128,118,0.99999994,-1,1715.0,-1,5,2,1715,1237,64,136,0.9026907,-1,1610.4001,-1,5,10,1784,18072,64
129,136,1.0,-1,1720.0,-1,4,3,1720,1195,52,148,0.90303713,-1,1615.5334,-1,4,8,1789,18133,52
130,121,0.99999994,-1,1724.0,-1,3,4,1724,1154,67,133,0.90306765,-1,1619.2002,-1,3,11,1793,17815,67
131,114,1.0,-1,1729.0,-1,3,5,1729,1146,73,127,0.9036378,-1,1622.9335,-1,3,12,1796,17576,73
132,128,0.99999994,-1,1731.0,-1,4,1,1731,1172,57,143,0.9042432,-1,1626.7335,-1,4,10,1799,17735,57
133,129,0.99999994,-1,1734.0,-1,3,1,1734,1187,61,139,0.9046086,-1,1629.2002,-1,3,6,1801,17773,61
134,122,1.0,-1,1739.0,-1,2,4,1739,1096,67,133,0.9048359,-1,1634.1335,-1,2,7,1806,17318,67
135,119,1.0,-1,1747.0,-1,3,6,1747,1186,69,131,0.905393,-1,1639.6667,-1,3,10,1811,17670,69
136,132,1.0,-1,1755.0,-1,5,6,1755,1149,58,142,0.905464,-1,1646.1335,-1,5,8,1818,17903,58
137,126,0.99999994,-1,1760.0,-1,2,3,1760,1206,53,147,0.90570813,-1,1650.2002,-1,2,7,1822,18561,53
138,139,1.0,-1,1766.0,-1,4,4,1766,1175,51,149,0.9059296,-1,1655.1334,-1,4,10,1827,17753,51
139,134,1.0,-1,1772.0,-1,2,4,1772,1119,59,141,0.90617156,-1,1659.2002,-1,2,10,1831,17652,59
140,132,1.0,-1,1781.0,-1,6,6,1781,1168,54,146,0.9066014,-1,1666.3335,-1,6,9,1838,17824,54
141,122,1.0,-1,1786.0,-1,4,3,1786,1192,64,136,0.9066378,-1,1670.9335,-1,4,6,1843,17741,64
142,115,0.99999994,-1,1791.0,-1,7,2,1791,1224,64,136,0.907179,-1,1676.4668,-1,7,9,1848,17928,64
143,126,1.0,-1,1795.0,-1,5,2,1795,1131,60,139,0.9071635,-1,1680.0669,-1,5,3,1852,18078,60
144,122,1.0,-1,1802.0,-1,4,5,1802,1153,65,135,0.907557,-1,1685.3335,-1,4,10,1857,17542,65
145,129,1.0,-1,1804.0,-1,3,1,1804,1218,51,149,0.90756285,-1,1688.0669,-1,3,4,1860,17794,51
146,112,0.99999994,-1,1809.0,-1,5,4,1809,1212,70,130,0.90768135,-1,1693.7335,-1,5,8,1866,17395,70
147,130,0.99999994,-1,1813.0,-1,4,2,1813,1141,58,142,0.9079503,-1,1697.867,-1,4,9,1870,17546,58
148,114,1.0,-1,1823.0,-1,4,8,1823,1157,71,129,0.9084223,-1,1704.2002,-1,4,11,1876,17444,71
149,118,1.0,-1,1828.0,-1,4,4,1828,1131,73,127,0.908688,-1,1708.3335,-1,4,7,1880,17628,73
150,133,1.0,-1,1836.0,-1,7,5,1836,1144,60,140,0.90902674,-1,1715.3335,-1,7,11,1887,17782,60
151,119,1.0,-1,1843.0,-1,5,5,1843,1186,61,139,0.90895003,-1,1719.7335,-1,5,8,1892,17673,61
152,111,1.0,-1,1846.0,-1,1,2,1846,1148,76,124,0.90917724,-1,1723.8002,-1,1,8,1896,17638,76
153,112,1.0,-1,1853.0,-1,5,3,1853,1203,70,130,0.90903366,-1,1730.8,-1,5,7,1904,17575,70
154,130,1.0,-1,1860.0,-1,4,6,1860,1159,59,141,0.90944666,-1,1736.1335,-1,4,12,1909,17515,59
155,120,1.0,-1,1863.0,-1,2,2,1863,1173,67,133,0.90937936,-1,1738.7334,-1,2,6,1912,17608,67
156,131,1.0,-1,1868.0,-1,2,4,1868,1218,48,152,0.90922076,-1,1742.0669,-1,2,5,1916,17948,48
157,116,1.0,-1,1872.0,-1,2,3,1872,1142,71,129,0.9092015,-1,1745.6667,-1,2,4,1920,17746,71
158,128,1.0,-1,1877.0,-1,4,4,1877,1167,58,142,0.9096898,-1,1749.3335,-1,4,11,1923,17766,58
159,130,1.0,-1,1879.0,-1,1,2,1879,1180,56,144,0.9096451,-1,1751.0669,-1,1,4,1925,18011,56
160,120,1.0,-1,1884.0,-1,6,3,1884,1162,66,134,0.9099707,-1,1755.3335,-1,6,3,1929,17902,66
161,122,1.0,-1,1886.0,-1,1,1,1886,1191,61,139,0.9100295,-1,1757.2668,-1,1,3,1931,18083,61
162,114,1.0,-1,1889.0,-1,2,3,1889,1201,69,131,0.910112,-1,1761.0669,-1,2,9,1935,17835,69
163,116,1.0,-1,1890.0,-1,0,1,1890,1215,70,130,0.9103081,-1,1763.2668,-1,0,5,1937,18294,70
164,115,1.0,-1,1895.0,-1,4,3,1895,1177,67,133,0.9104018,-1,1768.0002,-1,4,7,1942,17662,67
165,119,1.0,-1,1897.0,-1,0,2,1897,1185,67,133,0.91041356,-1,1768.9335,-1,0,5,1943,18107,67
166,120,0.99999994,-1,1902.0,-1,4,4,1902,1171,59,141,0.91076875,-1,1773.2668,-1,4,9,1947,17727,59
167,106,0.99999994,-1,1906.0,-1,3,3,1906,1190,72,128,0.9109518,-1,1777.2668,-1,3,7,1951,17471,72
168,125,1.0,-1,1909.0,-1,3,2,1909,1142,60,140,0.9105318,-1,1781.0002,-1,3,4,1956,17555,60
169,121,1.0,-1,1911.0,-1,0,2,1911,1187,56,144,0.9106232,-1,1783.0001,-1,0,5,1958,17890,56
170,124,1.0,-1,1914.0,-1,2,2,1914,1139,60,140,0.91076,-1,1786.0002,-1,2,6,1961,17495,60
171,125,1.0,-1,1915.0,-1,1,1,1915,1170,61,139,0.9108509,-1,1788.0002,-1,1,5,1963,17793,61
172,126,1.0,-1,1920.0,-1,3,4,1920,1180,65,135,0.9111677,-1,1792.2668,-1,3,9,1967,17698,65
173,120,1.0,-1,1924.0,-1,2,4,1924,1222,64,136,0.9110886,-1,1796.6667,-1,2,6,1972,18039,64
174,131,1.0,-1,1931.0,-1,3,4,1931,1180,56,144,0.9112123,-1,1801.4668,-1,3,5,1977,17961,56
175,125,0.99999994,-1,1935.0,-1,2,4,1935,1154,64,136,0.9113469,-1,1804.4668,-1,2,5,1980,17713,64
176,122,1.0,-1,1938.0,-1,3,1,1938,1138,66,134,0.9113802,-1,1807.2668,-1,3,3,1983,17746,66
177,128,1.0,-1,1942.0,-1,2,3,1942,1208,54,146,0.91162556,-1,1811.4001,-1,2,7,1987,17849,54
178,119,1.0,-1,1945.0,-1,3,3,1945,1160,66,134,0.9118701,-1,1815.5334,-1,3,8,1991,17375,66
179,122,1.0,-1,1949.0,-1,4,2,1949,1117,70,130,0.91210306,-1,1818.7335,-1,4,4,1994,17591,70
180,128,1.0,-1,1951.0,-1,3,0,1951,1160,57,143,0.9120909,-1,1820.5334,-1,3,0,1996,17642,57
181,119,1.0,-1,1955.0,-1,3,3,1955,1140,66,134,0.9120002,-1,1824.0002,-1,3,4,2000,17279,66
182,116,1.0,-1,1955.0,-1,0,0,1955,1191,68,132,0.9122668,-1,1824.5334,-1,0,3,2000,18013,68
183,129,1.0,-1,1955.0,-1,3,0,1955,1192,57,143,0.9127001,-1,1825.4001,-1,3,7,2000,18302,57
184,123,1.0,-1,1956.0,-1,3,1,1956,1138,64,136,0.9128103,-1,1826.5334,-1,3,4,2001,17735,64
185,122,1.0,-1,1958.0,-1,1,2,1958,1155,66,134,0.9128974,-1,1828.5334,-1,1,4,2003,17526,66
186,122,1.0,-1,1961.0,-1,3,3,1961,1131,65,135,0.91314054,-1,1829.9336,-1,3,5,2004,17745,65
187,126,1.0,-1,1964.0,-1,0,3,1964,1162,60,140,0.91320384,-1,1832.8,-1,0,7,2007,17893,60
188,122,0.99999994,-1,1967.0,-1,1,3,1967,1144,66,134,0.9132671,-1,1835.6667,-1,1,5,2010,17775,66
189,122,0.99999994,-1,1968.0,-1,2,1,1968,1197,59,141,0.91350913,-1,1837.0669,-1,2,5,2011,17543,59
190,129,1.0,-1,1971.0,-1,3,1,1971,1172,57,143,0.9136711,-1,1840.1335,-1,3,7,2014,18130,57
191,123,1.0,-1,1974.0,-1,3,2,1974,1181,65,135,0.9138656,-1,1843.2668,-1,3,5,2017,17634,65
192,128,1.0,-1,1974.0,-1,0,0,1974,1167,60,139,0.91399777,-1,1843.5334,-1,0,4,2017,17992,60
