generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
82,144,1.0,-1,1559.0,-1,10,6,1559,954,23
83,159,1.0,-1,1577.0,-1,14,9,1577,888,14
84,160,1.0,-1,1592.0,-1,12,5,1592,845,14
85,154,1.0,-1,1609.0,-1,8,9,1609,891,17
86,145,1.0,-1,1617.0,-1,8,4,1617,996,18
87,157,1.0,-1,1626.0,-1,5,5,1626,918,15
88,157,1.0,-1,1640.0,-1,9,6,1640,854,13
89,157,1.0,-1,1659.0,-1,11,10,1659,857,18
90,160,0.99999994,-1,1674.0,-1,9,8,1674,866,12
91,161,1.0,-1,1686.0,-1,12,3,1686,878,12
92,155,0.99999994,-1,1691.0,-1,5,1,1691,884,14
93,146,1.0,-1,1696.0,-1,5,1,1696,946,19
94,155,0.99999994,-1,1699.0,-1,3,1,1699,925,18
95,158,1.0,-1,1707.0,-1,5,6,1707,830,20
96,153,1.0,-1,1716.0,-1,6,4,1716,981,7
97,155,1.0,-1,1726.0,-1,8,2,1726,877,15
98,148,1.0,-1,1735.0,-1,9,3,1735,957,15
99,153,1.0,-1,1743.0,-1,4,5,1743,917,16
100,159,1.0,0.5368286,1750.0,939.45,3,4,1750,872,13
101,156,1.0,-1,1762.0,-1,10,3,1762,901,9
102,159,1.0,-1,1768.0,-1,5,3,1768,855,13
103,159,1.0,-1,1773.0,-1,7,2,1773,893,13
104,150,1.0,-1,1778.0,-1,3,4,1778,942,14
105,145,1.0,-1,1788.0,-1,6,6,1788,955,17
106,157,1.0,-1,1792.0,-1,3,1,1792,865,19
107,152,1.0,-1,1797.0,-1,6,1,1797,849,21
108,154,1.0,-1,1808.0,-1,6,5,1808,949,15
109,150,1.0,-1,1812.0,-1,4,1,1812,962,14
110,154,1.0,-1,1820.0,-1,4,5,1820,922,16
111,154,1.0,-1,1828.0,-1,7,2,1828,911,13
112,161,1.0,-1,1835.0,-1,4,4,1835,893,8
113,154,1.0,-1,1839.0,-1,4,1,1839,897,12
114,151,1.0,-1,1850.0,-1,10,2,1850,846,20
115,151,1.0,-1,1858.0,-1,4,5,1858,909,18
116,160,1.0,-1,1863.0,-1,6,2,1863,908,9
117,155,1.0,-1,1872.0,-1,10,2,1872,889,16
118,151,1.0,-1,1877.0,-1,4,1,1877,980,13
119,165,0.99999994,-1,1880.0,-1,2,1,1880,861,8
120,154,1.0,0.53694266,1884.0,1011.6,5,1,1884,966,15
121,153,1.0,-1,1888.0,-1,1,3,1888,864,23
122,144,1.0,-1,1892.0,-1,3,2,1892,947,18
123,145,1.0,-1,1897.0,-1,1,5,1897,949,21
124,155,1.0,-1,1903.0,-1,4,2,1903,877,13
125,154,1.0,-1,1914.0,-1,6,5,1914,882,19
126,154,0.99999994,-1,1919.0,-1,5,0,1919,877,16
127,160,1.0,-1,1922.0,-1,3,1,1922,903,9
128,149,0.99999994,-1,1925.0,-1,3,1,1925,898,19
129,161,1.0,-1,1930.0,-1,3,2,1930,932,14
130,150,1.0,-1,1934.0,-1,5,1,1934,948,15
131,157,0.99999994,-1,1936.0,-1,2,1,1936,868,15
132,141,1.0,-1,1943.0,-1,9,1,1943,996,13
133,155,1.0,-1,1948.0,-1,2,4,1948,892,13
134,156,0.99999994,-1,1952.0,-1,4,1,1952,929,13
135,160,1.0,-1,1955.0,-1,3,0,1955,847,12
136,155,1.0,-1,1958.0,-1,2,1,1958,858,17
137,154,1.0,-1,1961.0,-1,2,2,1961,867,16
138,149,0.99999994,-1,1967.0,-1,5,2,1967,890,16
139,148,1.0,-1,1975.0,-1,9,1,1975,946,15
140,137,1.0,0.5343592,1982.0,1059.1,6,2,1982,982,17
141,148,0.99999994,-1,1987.0,-1,2,4,1987,890,20
142,152,1.0,-1,1990.0,-1,4,1,1990,929,14
143,161,1.0,-1,1996.0,-1,5,2,1996,817,12
144,156,1.0,-1,2001.0,-1,6,1,2001,919,10
145,165,0.99999994,-1,2005.0,-1,2,2,2005,870,11
146,161,1.0,-1,2009.0,-1,3,2,2009,881,10
147,158,1.0,-1,2016.0,-1,8,3,2016,842,14
148,160,1.0,-1,2020.0,-1,2,3,2020,922,12
149,149,1.0,-1,2026.0,-1,6,1,2026,982,11
150,162,1.0,-1,2031.0,-1,5,1,2031,837,12
151,159,1.0,-1,2034.0,-1,3,1,2034,847,16
152,154,0.99999994,-1,2037.0,-1,5,0,2037,890,14
153,160,0.99999994,-1,2041.0,-1,5,0,2041,835,13
154,155,1.0,-1,2043.0,-1,2,1,2043,867,14
155,149,1.0,-1,2051.0,-1,5,4,2051,912,15
156,153,1.0,-1,2054.0,-1,3,1,2054,922,14
157,154,1.0,-1,2058.0,-1,3,2,2058,884,16
158,152,1.0,-1,2064.0,-1,4,3,2064,895,17
159,151,1.0,-1,2065.0,-1,0,1,2065,965,10
160,158,1.0,0.533116,2070.0,1103.55,3,2,2070,844,16
161,152,1.0,-1,2074.0,-1,3,3,2074,957,11
162,159,1.0,-1,2080.0,-1,3,3,2080,865,8
163,167,1.0,-1,2087.0,-1,1,6,2087,838,8
164,158,1.0,-1,2096.0,-1,8,3,2096,876,18
165,140,1.0,-1,2098.0,-1,2,0,2098,975,17
166,150,1.0,-1,2100.0,-1,0,2,2100,967,10
167,155,1.0,-1,2101.0,-1,1,1,2101,898,14
168,155,1.0,-1,2104.0,-1,3,1,2104,848,15
169,160,1.0,-1,2106.0,-1,2,0,2106,836,11
170,147,1.0,-1,2109.0,-1,1,2,2109,940,19
171,150,1.0,-1,2112.0,-1,3,2,2112,898,16
172,163,1.0,-1,2116.0,-1,3,1,2116,847,9
173,153,1.0,-1,2120.0,-1,3,1,2120,862,18
174,149,1.0,-1,2120.0,-1,0,0,2120,990,16
175,151,1.0,-1,2123.0,-1,4,0,2123,890,16
176,146,1.0,-1,2126.0,-1,4,1,2126,976,17
177,155,1.0,-1,2126.0,-1,1,0,2126,836,16
178,150,1.0,-1,2128.0,-1,1,1,2128,946,18
179,156,1.0,-1,2134.0,-1,3,3,2134,919,14
180,143,1.0,0.53436184,2139.0,1143.0,5,1,2139,880,22
181,143,1.0,-1,2139.0,-1,1,0,2139,934,23
182,147,1.0,-1,2144.0,-1,6,1,2144,946,18
183,155,1.0,-1,2147.0,-1,1,2,2147,897,14
184,154,1.0,-1,2148.0,-1,1,0,2148,901,19
185,158,1.0,-1,2156.0,-1,4,4,2156,880,17
186,169,1.0,-1,2161.0,-1,3,2,2161,793,14
187,165,1.0,-1,2164.0,-1,2,2,2164,806,9
188,159,1.0,-1,2169.0,-1,5,0,2169,819,18
189,159,1.0,-1,2172.0,-1,2,2,2172,826,13
190,154,1.0,-1,2175.0,-1,2,1,2175,845,17
191,156,1.0,-1,2177.0,-1,3,0,2177,927,12
192,149,1.0,-1,2177.0,-1,0,0,2177,941,16
193,162,1.0,-1,2181.0,-1,0,4,2181,821,18
194,143,1.0,-1,2182.0,-1,0,1,2182,936,16
195,155,1.0,-1,2185.0,-1,3,0,2185,908,15
196,151,1.0,-1,2189.0,-1,4,1,2189,923,16
197,147,1.0,-1,2190.0,-1,2,0,2190,939,18
